id,cem011_prgrm,cem301_attendees_total,month,year,cem009_country
,1AF,30,6,2013,1
,1AF,24,6,2013,1
,1AF,31,6,2013,1
,1AF,33,6,2013,1
,1AF,22,6,2013,1
,1AF,32,6,2013,1
,1AF,19,6,2013,1
,1AF,38,6,2013,1
,1AF,32,6,2013,1
,1AF,31,6,2013,1
,1AF,27,7,2013,1
,1AF,16,6,2013,1
,1AF,28,6,2013,1
,1AF,24,6,2013,1
,1AF,17,6,2013,1
,1AF,36,6,2013,1
,1AF,28,7,2013,1
,1AF,23,6,2013,1
,1AF,24,6,2013,1
,1AF,30,6,2013,1
,1AF,33,6,2013,1
,1AF,14,6,2013,1
,1AF,29,7,2013,1
,1AF,39,7,2013,1
,1AF,25,7,2013,1
,1AF,44,7,2013,1
,1AF,28,7,2013,1
,1AF,20,7,2013,1
,1AF,31,7,2013,1
,1AF,29,7,2013,1
,1AF,32,7,2013,1
,1AF,25,7,2013,1
,1AF,17,6,2013,1
,1AF,25,6,2013,1
,1AF,20,6,2013,1
,1AF,26,6,2013,1
,1AF,28,6,2013,1
,1AF,23,6,2013,1
,1AF,40,6,2013,1
,1AF,22,6,2013,1
,1AF,17,6,2013,1
,1AF,27,6,2013,1
,1AF,34,6,2013,1
,KKM2,23,12,2011,1
,1AF,27,12,2011,1
,KKM2,21,12,2011,1
,1AF,18,12,2011,1
,1AF,23,11,2011,1
,1AF,24,12,2011,1
,KKM2,26,12,2011,1
,1AF,29,12,2011,1
,KKM2,24,12,2011,1
,KKM2,25,11,2011,1
,1AF,16,11,2011,1
,KKM2,27,11,2011,1
,KKM2,47,11,2011,1
,1AF,17,12,2011,1
,1AF,19,12,2011,1
,KKM2,23,11,2011,1
,1AF,24,12,2011,1
,KKM2,22,12,2011,1
,1AF,23,6,2013,1
,1AF,25,6,2013,1
,1AF,20,11,2011,1
,1AF,31,6,2013,1
,1AF,24,6,2013,1
,1AF,25,7,2014,1
,1AF,26,7,2014,1
,1AF,17,6,2013,1
,1AF,26,7,2013,1
,1AF,13,6,2013,1
,1AF,20,7,2013,1
,1AF,20,6,2013,1
,1AF,27,6,2013,1
,1AF,27,7,2013,1
,1AF,22,6,2013,1
,1AF,22,6,2013,1
,1AF,20,6,2013,1
,1AF,29,6,2013,1
,1AF,26,6,2013,1
,1AF,29,6,2013,1
,1AF,23,6,2013,1
,1AF,34,6,2013,1
,1AF,28,6,2013,1
,1AF,21,6,2013,1
,1AF,23,6,2013,1
,1AF,24,6,2013,1
,1AF,30,6,2013,1
,1AF,23,6,2013,1
,1AF,31,5,2013,1
,1AF,15,6,2013,1
,1AF,21,6,2013,1
,1AF,30,6,2013,1
,1AF,21,6,2013,1
,1AF,22,6,2013,1
,1AF,22,6,2013,1
,1AF,20,7,2013,1
,1AF,20,7,2013,1
,1AF,23,6,2013,1
,1AF,22,6,2013,1
,1AF,30,6,2013,1
,1AF,37,11,2011,1
,1AF,22,11,2011,1
,1AF,29,11,2011,1
,1AF,20,5,2013,1
,1AF,27,5,2013,1
,1AF,39,12,2011,1
,KKM2,21,11,2011,1
,KKM2,17,11,2011,1
,1AF,25,11,2011,1
,1AF,23,11,2011,1
,1AF,19,12,2011,1
,1AF,31,7,2013,1
,1AF,25,6,2013,1
,1AF,30,6,2013,1
,1AF,29,6,2013,1
,1AF,33,6,2013,1
,1AF,34,7,2013,1
,1AF,23,7,2013,1
,1AF,34,7,2013,1
,1AF,28,7,2013,1
,1AF,21,7,2013,1
,1AF,25,5,2013,1
,1AF,15,5,2013,1
,1AF,25,7,2013,1
,1AF,41,11,2011,1
,1AF,24,6,2013,1
,1AF,15,7,2013,1
,1AF,21,6,2013,1
,1AF,26,7,2013,1
,1AF,15,7,2013,1
,1AF,29,7,2013,1
,1AF,27,11,2011,1
,1AF,25,6,2013,1
,1AF,23,6,2013,1
,1AF,21,6,2013,1
,1AF,20,11,2011,1
,1AF,21,11,2011,1
,1AF,27,6,2013,1
,1AF,23,6,2013,1
,1AF,40,6,2013,1
,1AF,20,6,2013,1
,1AF,32,6,2013,1
,1AF,22,6,2013,1
,1AF,49,12,2011,1
,1AF,32,11,2011,1
,1AF,23,11,2011,1
,1AF,22,6,2013,1
,1AF,15,5,2013,1
,1AF,16,5,2013,1
,1AF,28,5,2013,1
,1AF,19,5,2013,1
,1AF,16,11,2011,1
,1AF,21,5,2013,1
,1AF,21,5,2013,1
,1AF,27,5,2013,1
,1AF,15,5,2013,1
,1AF,31,5,2013,1
,1AF,19,5,2013,1
,1AF,18,5,2013,1
,1AF,21,5,2013,1
,1AF,39,5,2013,1
,1AF,18,5,2013,1
,1AF,40,11,2011,1
,1AF,31,7,2013,1
,1AF,24,6,2013,1
,1AF,21,5,2013,1
,1AF,22,5,2013,1
,1AF,28,7,2013,1
,1AF,25,7,2013,1
,1AF,25,7,2013,1
