id,cr011_prgrm,cr102_wpt_id,total_chl_used,total_period_day,total_period_30day,avrg_30day_usage,avrg_30day_usage_litres,num_of_Deliveries,Jerrican_delivered,date_of_first_delivery,date_of_last_delivery,country
,Lugari,10300306,5,297,9.9,0.5050505,2.525253,5,9,2014/06/27,2015/09/11,1
,Lugari,10300307,15,288,9.6,1.5625,7.8125,6,20,2014/06/26,2015/09/23,1
,Lugari,10300308,3,232,7.733333,0.387931,1.939655,4,6,2014/06/24,2015/08/26,1
,Lugari,10300309,15,299,9.966666,1.505017,7.525084,6,19,2014/06/23,2015/07/29,1
,Lugari,10300310,14.2,333,11.1,1.279279,6.396396,5,19,2014/06/23,2015/05/22,1
,Lugari,10300311,7,331,11.03333,0.6344411,3.172205,4,11,2014/06/25,2015/05/22,1
,Lugari,10300312,9.5,273,9.1,1.043956,5.21978,4,10,2014/06/23,2015/07/28,1
,Lugari,10300313,7,302,10.06667,0.6953642,3.476821,5,11,2014/06/26,2015/07/29,1
,Lugari,10300314,6,224,7.466667,0.8035714,4.017857,7,10,2014/06/23,2015/07/28,1
,Lugari,10300316,,,,,,1,2,2014/09/30,2014/09/30,1
,Lugari,10300317,,,,,,3,1,2014/09/30,2015/04/23,1
,Lugari,10300318,14,271,9.033334,1.549815,7.749077,5,18,2014/06/26,2015/03/24,1
,Lugari,10300319,,,,,,5,8,2014/06/24,2015/07/28,1
,Lugari,10300320,2.5,134,4.466667,0.5597015,2.798507,4,8,2014/10/01,2015/05/26,1
,Lugari,10300321,7,201,6.7,1.044776,5.223881,4,9,2014/10/01,2015/08/25,1
,Lugari,10300322,,,,,,2,4,2014/06/25,2015/02/12,1
,Lugari,10300323,7.5,290,9.666667,0.775862,3.87931,3,12,2014/06/24,2015/04/10,1
,Lugari,10300324,,,,,,4,8,2014/06/25,2015/04/17,1
,Lugari,10300325,3.5,237,7.9,0.443038,2.21519,3,8,2014/06/20,2015/08/17,1
,Lugari,10300326,8,162,5.4,1.481481,7.407407,2,8,2014/06/22,2014/12/01,1
,Lugari,10300327,15,290,9.666667,1.551724,7.75862,7,19,2014/06/22,2015/07/28,1
,Lugari,10300328,9,206,6.866667,1.31068,6.553398,4,11,2014/06/20,2015/08/26,1
,Lugari,10300329,12,295,9.833333,1.220339,6.101695,4,13,2014/06/26,2015/04/17,1
,Lugari,10300330,4,297,9.9,0.4040404,2.020202,3,8,2014/06/27,2015/04/20,1
,Lugari,10300331,,,,,,2,2,2014/10/03,2015/05/21,1
,Lugari,10300332,13.5,357,11.9,1.134454,5.672269,6,18,2014/06/18,2015/08/10,1
,Lugari,10300333,3,218,7.266667,0.412844,2.06422,3,5,2014/10/15,2015/08/13,1
,Lugari,10300334,4.5,329,10.96667,0.4103343,2.051672,5,8,2014/06/26,2015/08/13,1
,Lugari,10300335,12,329,10.96667,1.094225,5.471125,5,12,2014/06/25,2015/08/13,1
,Lugari,10300337,5,329,10.96667,0.4559271,2.279635,4,9,2014/06/26,2015/08/03,1
,Lugari,10300338,7,331,11.03333,0.6344411,3.172205,4,11,2014/06/23,2015/05/20,1
,Lugari,10300339,9.5,331,11.03333,0.8610272,4.305136,4,9,2014/06/23,2015/07/27,1
,Lugari,10300340,3,331,11.03333,0.2719033,1.359517,4,7,2014/06/23,2015/07/27,1
,Lugari,10300341,6,331,11.03333,0.5438066,2.719033,5,10,2014/06/23,2015/07/27,1
,Lugari,10300342,6,330,11,0.5454546,2.727273,3,10,2014/06/24,2015/05/20,1
,Lugari,10300343,4,332,11.06667,0.3614458,1.807229,3,8,2014/06/21,2015/05/19,1
,Lugari,10300344,9,332,11.06667,0.813253,4.066265,4,9,2014/06/21,2015/08/12,1
,Lugari,10300345,5.5,332,11.06667,0.496988,2.48494,3,5,2014/06/21,2015/08/12,1
,Lugari,10300346,4,305,10.16667,0.3934426,1.967213,4,8,2014/07/18,2015/08/12,1
,Lugari,10300347,5,326,10.86667,0.4601227,2.300613,5,9,2014/06/24,2015/07/27,1
,Lugari,10300348,2,101,3.366667,0.5940594,2.970297,2,6,2015/02/04,2015/05/16,1
,Lugari,10300349,,,,,,3,4,2014/07/12,2015/08/03,1
,Lugari,10300350,4,229,7.633333,0.5240175,2.620087,3,8,2014/06/20,2015/05/19,1
,Lugari,10300351,,,,,,3,4,2014/06/20,2015/05/16,1
,Lugari,10300352,2,155,5.166667,0.3870968,1.935484,4,6,2014/10/14,2015/08/03,1
,Lugari,10300354,2.5,264,8.8,0.2840909,1.420455,4,6,2014/06/20,2015/08/12,1
,Lugari,10300356,10,325,10.83333,0.9230769,4.615385,4,14,2014/06/24,2015/05/15,1
,Lugari,10300357,7,328,10.93333,0.6402439,3.20122,3,11,2014/06/21,2015/05/15,1
,Lugari,10300358,3.5,263,8.766666,0.3992396,1.996198,3,8,2014/06/21,2015/05/21,1
,Lugari,10300359,,,,,,4,6,2014/12/01,2015/08/12,1
,Lugari,10300360,6,260,8.666667,0.6923077,3.461538,3,6,2014/06/24,2015/05/16,1
,Lugari,10300361,5.5,324,10.8,0.5092592,2.546296,3,10,2014/06/25,2015/05/15,1
,Lugari,10300362,,,,,,3,4,2014/06/27,2015/05/15,1
,Lugari,10300363,4,312,10.4,0.3846154,1.923077,4,8,2014/07/05,2015/08/07,1
,Lugari,10300364,,,,,,3,1,2015/01/29,2015/08/07,1
,Lugari,10300365,,,,,,3,4,2014/07/05,2015/04/25,1
