id,s102_wpt_id,s206_cl_dispensed,s208_dispprob,s209_dispprob_cas_padlk,s210_dispprob_tnk_vlv,s211_dispprob_stker_tag_paint,s212_nut,month_survey,year_survey,s009_country,s011_prgrm
,10050092,,1,1,0,0,0,4,2014,1,KKM2
,10050092,1,0,,,,,2,2015,1,KKM2
,10050093,1,0,,,,,2,2015,1,KKM2
,10050093,1,0,,,,,10,2015,1,KKM2
,10050094,1,0,,,,,2,2015,1,KKM2
,10050094,1,0,,,,,10,2015,1,KKM2
,10050095,1,0,,,,,2,2015,1,KKM2
,10050095,1,0,,,,,10,2015,1,KKM2
,10050096,1,0,,,,,6,2015,1,BSA
,10050096,1,0,,,,,8,2015,1,BSA
,10050096,1,0,,,,,12,2014,1,BSA
,10050096,1,0,,,,,2,2015,1,BSA
,10050096,1,0,,,,,1,2016,1,BSA
,10050097,1,0,,,,,10,2015,1,BSA
,10050097,1,0,,,,,6,2015,1,BSA
,10050097,1,0,,,,,8,2015,1,BSA
,10050097,1,0,,,,,1,2016,1,BSA
,10050097,1,0,,,,,2,2015,1,BSA
,10050098,1,0,,,,,6,2015,1,KKM
,10050098,1,0,,,,,4,2014,1,KKM
,10050098,1,0,,,,,10,2015,1,KKM
,10050098,1,0,,,,,8,2015,1,KKM
,10050098,1,0,,,,,2,2015,1,KKM
,10050099,1,0,,,,,6,2015,1,KKM
,10050099,1,0,,,,,8,2015,1,KKM
,10050099,1,0,,,,,10,2015,1,KKM
,10050099,1,0,,,,,2,2015,1,KKM
,10050100,1,0,,,,,6,2015,1,BSA
,10050100,1,0,,,,,2,2015,1,BSA
,10050100,1,0,,,,,8,2015,1,BSA
,10050100,1,0,,,,,11,2013,1,BSA
,10050100,,0,,,,,1,2016,1,BSA
,10050101,1,1,0,0,0,0,10,2015,1,BSA
,10050101,1,0,,,,,6,2015,1,BSA
,10050101,1,0,,,,,2,2015,1,BSA
,10050101,1,0,,,,,1,2014,1,BSA
,10050102,1,0,,,,,8,2015,1,BSA
,10050102,1,0,,,,,5,2015,1,BSA
,10050102,1,0,,,,,2,2015,1,BSA
,10050102,1,0,,,,,3,2015,1,BSA
,10050102,1,0,,,,,2,2015,1,BSA
,10050102,1,0,,,,,8,2015,1,BSA
,10050102,1,0,,,,,6,2015,1,BSA
,10050102,1,0,,,,,8,2014,1,BSA
,10050102,1,0,,,,,5,2016,1,BSA
,10050103,1,0,,,,,2,2015,1,KKM
,10050104,,0,,,,,10,2014,1,BSA
,10050104,1,1,0,0,0,0,5,2015,1,BSA
,10050104,1,0,,,,,6,2015,1,BSA
