ID,vcs201_attendees_total,vcs011_prgrm,month,year,vcs009_country,vcs014_mtg_date
,43,Mbl1,10,2014,2,30-Jul-14
,50,Mbl1,10,2014,2,30-Jul-14
,62,Mfw,10,2014,2,08-Jan-14
,26,Mbl1,10,2014,2,07-Jul-14
,47,Srk,10,2014,2,03-Jul-14
,79,Mfw,10,2014,2,19-Dec-13
,39,Mfw,10,2014,2,13-Nov-13
,29,Srk,10,2014,2,20-Jun-14
,31,Srk,10,2014,2,07-Jul-14
,35,Mbl1,10,2014,2,12-Jul-14
,43,Mbl1,10,2014,2,15-Jul-14
,41,Mfw,10,2014,2,05-Dec-13
,25,Srk,10,2014,2,01-Jul-14
,63,Mbl1,10,2014,2,08-Jul-14
,98,Srk,10,2014,2,20-Jun-14
,42,Mfw,10,2014,2,11-Jan-14
,19,Srk,10,2014,2,07-Jul-14
,66,Srk,10,2014,2,02-Oct-13
,40,Srk,10,2014,2,08-Jul-14
,83,Mfw,10,2014,2,21-Jan-14
,68,Mfw,10,2014,2,18-Dec-13
,57,Srk,10,2014,2,03-Jul-14
,39,Srk,10,2014,2,23-Jul-14
,38,Mfw,10,2014,2,05-Dec-13
,48,Mbl1,10,2014,2,16-Jul-14
,43,Mfw,10,2014,2,19-Nov-13
,26,Srk,10,2014,2,02-Jul-14
,97,Mfw,10,2014,2,13-Jan-14
,41,Mfw,10,2014,2,14-Dec-13
,70,Mbl1,10,2014,2,07-Jul-14
,33,Mbl1,10,2014,2,25-Jun-14
,88,Mfw,10,2014,2,16-Dec-13
,63,Mfw,10,2014,2,19-Dec-13
,24,Mbl1,10,2014,2,17-Jul-14
,26,Mfw,10,2014,2,14-Nov-13
,36,Mfw,10,2014,2,16-Dec-13
,31,Srk,10,2014,2,09-Jul-14
,74,Mfw,10,2014,2,09-Jan-14
,60,Mfw,10,2014,2,19-Dec-13
,63,Mbl1,10,2014,2,15-Jul-14
,34,Srk,10,2014,2,19-Jun-14
,24,Srk,10,2014,2,04-Jul-14
,30,Srk,10,2014,2,03-Oct-13
,49,Mfw,10,2014,2,18-Dec-13
,26,Srk,10,2014,2,30-Jun-14
,20,Srk,10,2014,2,08-Jul-14
,32,Mbl1,10,2014,2,14-Jul-14
,76,Mfw,10,2014,2,18-Dec-13
,35,Mfw,10,2014,2,21-Jan-14
,159,Mfw,10,2014,2,13-Dec-13
,19,Mbl1,10,2014,2,02-Jul-14
,19,Srk,10,2014,2,19-Jun-14
