ID,cem301_attendees_total,cem011_prgrm,month,year,cem009_country
,42,Kibuku 4,8,2013,2
,24,Kibuku 4,8,2013,2
,23,Kibuku 4,8,2013,2
,53,Kibuku 4,8,2013,2
,48,Kibuku 4,8,2013,2
,35,Kibuku 1,8,2013,2
,34,Kibuku 4,8,2013,2
,52,Kibuku 4,8,2013,2
,41,Kibuku 4,8,2013,2
,41,Kibuku 4,8,2013,2
,28,Kibuku 4,8,2013,2
,24,Kibuku 4,8,2013,2
,72,Kibuku 4,8,2013,2
,49,Kibuku 4,8,2013,2
,22,Kibuku 4,8,2013,2
,66,Kibuku 4,8,2013,2
,30,Kibuku 4,8,2013,2
,51,Kibuku 4,8,2013,2
,30,Kibuku 4,8,2013,2
,50,Kibuku 4,8,2013,2
,28,Kibuku 4,8,2013,2
,34,Kibuku 4,8,2013,2
,48,Kibuku 4,8,2013,2
,28,Kibuku 4,8,2013,2
,69,Kibuku 4,8,2013,2
,32,Kibuku 4,8,2013,2
,45,Kibuku 4,8,2013,2
,25,Kibuku 4,8,2013,2
,34,Kibuku 4,8,2013,2
,20,Kibuku 4,8,2013,2
,25,Kibuku 4,8,2013,2
,46,Kibuku 4,8,2013,2
,37,Kibuku 4,8,2013,2
,17,Kibuku 4,8,2013,2
,58,Kibuku 4,8,2013,2
,30,Kibuku 4,8,2013,2
,48,Kibuku 4,8,2013,2
,39,Kibuku 4,8,2013,2
,52,Kibuku 4,8,2013,2
,46,Kibuku 4,8,2013,2
,42,Kibuku 4,8,2013,2
,32,Kibuku 4,8,2013,2
,23,Kibuku 4,8,2013,2
,38,Kibuku 4,8,2013,2
,40,Kibuku 4,8,2013,2
,27,Kibuku 4,8,2013,2
,37,Kibuku 4,8,2013,2
,28,Kibuku 4,8,2013,2
,57,Kibuku 4,8,2013,2
,37,Kibuku 4,8,2013,2
,20,Kibuku 4,8,2013,2
,32,Kibuku 4,8,2013,2
,21,Kibuku 4,8,2013,2
,36,Kibuku 2,8,2013,2
,32,Kibuku 4,8,2013,2
,52,Kibuku 4,8,2013,2
,28,Kibuku 4,8,2013,2
,23,Kibuku 4,8,2013,2
,43,Kibuku 4,8,2013,2
,16,Kibuku 2,8,2013,2
,48,Kibuku 2,8,2013,2
,20,Kibuku 4,8,2013,2
,41,Kibuku 4,8,2013,2
,32,Kibuku 4,8,2013,2
,41,Kibuku 2,8,2013,2
,41,Mfw1,1,2014,2
,56,Srk1,1,2014,2
,72,Mbl1,1,2014,2
,38,Srk1,1,2014,2
,19,Mbl1,1,2014,2
,42,Mfw1,1,2014,2
,51,Mfw1,1,2014,2
,23,Srk1,1,2014,2
,45,Mbl1,1,2014,2
,35,Srk1,1,2014,2
,32,Srk1,1,2014,2
,35,Mfw1,1,2014,2
,38,Mbl1,1,2014,2
,35,Mfw1,1,2014,2
,22,Mfw1,1,2014,2
,60,Mfw1,1,2014,2
,58,Mfw1,1,2014,2
,63,Mfw1,1,2014,2
,53,Mfw1,1,2014,2
,76,Mfw1,1,2014,2
,63,Mfw1,1,2014,2
,79,Mfw1,1,2014,2
,84,Mfw1,1,2014,2
,54,Mfw1,1,2014,2
,56,Mfw1,1,2014,2
,32,Mfw1,1,2014,2
,59,Mfw1,1,2014,2
,104,Mfw1,1,2014,2
,39,Mfw1,1,2014,2
,54,Mfw1,1,2014,2
,71,Mfw1,1,2014,2
,98,Mfw1,1,2014,2
,37,Mfw1,1,2014,2
,57,Mfw1,1,2014,2
,50,Mfw1,1,2014,2
