id,cr011_prgrm,cr102_wpt_id,total_chl_used,total_period_day,total_period_30day,avrg_30day_usage,avrg_30day_usage_litres,num_of_Deliveries,Jerrican_delivered,date_of_first_delivery,date_of_last_delivery,month,year,country,
,SYA,10221122,1.5,106,3.533333,0.4245283,2.122642,2,2,2015/02/23,2015/06/09,6,2015,1,
,SYA,10221123,10.5,627,20.9,0.5023924,2.511962,8,14,2013/09/14,2015/06/09,6,2015,1,
,SYA,10221124,5.75,408,13.6,0.4227941,2.113971,4,7,2014/08/06,2015/09/18,9,2015,1,
,SYA,10221125,13.5,734,24.46667,0.5517711,2.758856,8,17,2013/09/13,2015/09/17,9,2015,1,
,SYA,10221126,12,733,24.43333,0.4911323,2.455662,7,15,2013/09/14,2015/09/17,9,2015,1,
,SYA,10221127,20,733,24.43333,0.8185539,4.09277,9,22,2013/09/14,2015/09/17,9,2015,1,
,SYA,10221128,9.5,735,24.5,0.3877551,1.938776,6,13,2013/09/12,2015/09/17,9,2015,1,
,SYA,10221129,3.5,189,6.3,0.5555555,2.777778,3,5,2015/03/12,2015/09/17,9,2015,1,
,SYA,10221130,19,734,24.46667,0.7765667,3.882834,8,22,2013/09/13,2015/09/17,9,2015,1,
,SYA,10221131,3,239,7.966667,0.376569,1.882845,3,6,2015/02/18,2015/10/15,10,2015,1,
,SYA,10221133,2,406,13.53333,0.1477832,0.7389163,2,3,2014/04/22,2015/06/02,6,2015,1,
,SYA,10221134,6,435,14.5,0.4137931,2.068966,4,8,2014/08/06,2015/10/15,10,2015,1,
,SYA,10221135,11,764,25.46667,0.4319372,2.159686,7,15,2013/09/11,2015/10/15,10,2015,1,
,SYA,10221136,17,619,20.63333,0.8239095,4.119548,7,18,2013/09/21,2015/06/02,6,2015,1,
,SYA,10221137,3,239,7.966667,0.376569,1.882845,3,6,2015/02/18,2015/10/15,10,2015,1,
,SYA,10221138,20.5,621,20.7,0.9903381,4.951691,13,30,2013/09/13,2015/06/04,6,2015,1,
,SYA,10221139,14.5,626,20.86667,0.6948882,3.474441,10,22,2013/09/11,2015/06/02,6,2015,1,
,SYA,10221140,16,627,20.9,0.7655503,3.827751,7,20,2013/09/11,2015/06/02,6,2015,1,
,SYA,10221141,14,733,24.43333,0.5729877,2.864939,6,14,2013/09/11,2015/09/14,9,2015,1,
,SYA,10221142,23.5,733,24.43333,0.9618009,4.809004,11,27,2013/09/11,2015/09/14,9,2015,1,
,SYA,10221144,11.5,730,24.33333,0.4726027,2.363014,8,17,2013/09/13,2015/09/14,9,2015,1,
,SYA,10221145,2,101,3.366667,0.5940594,2.970297,2,4,2015/03/02,2015/06/11,6,2015,1,
,SYA,10221146,20,731,24.36667,0.8207934,4.103967,10,27,2013/09/11,2015/09/14,9,2015,1,
,SYA,10221147,15,729,24.3,0.6172839,3.08642,9,20,2013/09/14,2015/09/14,9,2015,1,
,SYA,10221148,17,542,18.06667,0.9409593,4.704797,9,22,2013/09/11,2015/03/12,3,2015,1,
,SYA,10221149,2,95,3.166667,0.6315789,3.157895,2,4,2015/06/11,2015/09/14,9,2015,1,
,SYA,10221150,11.5,730,24.33333,0.4726027,2.363014,7,15,2013/09/14,2015/09/14,9,2015,1,
,SYA,10221151,10.5,418,13.93333,0.7535885,3.767942,5,13,2014/07/23,2015/09/14,9,2015,1,
,SYA,10221152,24,692,23.06667,1.040462,5.202312,9,29,2013/09/13,2015/08/07,8,2015,1,
,SYA,10221153,3.25,156,5.2,0.625,3.125,2,7,2015/01/28,2015/07/03,7,2015,1,
,SYA,10221154,12.5,657,21.9,0.5707763,2.853881,8,17,2013/09/13,2015/07/03,7,2015,1,
,SYA,10221155,8,435,14.5,0.5517241,2.758621,4,10,2014/04/24,2015/07/03,7,2015,1,
,SYA,10221156,23,658,21.93333,1.048632,5.243161,9,27,2013/09/13,2015/07/03,7,2015,1,
,SYA,10221158,18.5,600,20,0.925,4.625,10,24,2013/09/11,2015/05/05,5,2015,1,
,SYA,10221159,17,504,16.8,1.011905,5.059524,6,21,2013/09/11,2015/01/28,1,2015,1,
,SYA,10221160,20,658,21.93333,0.9118541,4.559271,8,23,2013/09/13,2015/07/03,7,2015,1,
,SYA,10221161,4.5,529,17.63333,0.2551985,1.275992,3,8,2014/01/20,2015/07/03,7,2015,1,
,SYA,10221162,3,155,5.166667,0.5806452,2.903226,4,14,2013/10/02,2014/03/13,3,2014,1,
,SYA,10221163,22,726,24.2,0.9090909,4.545455,9,26,2013/09/11,2015/09/07,9,2015,1,
,SYA,10221164,1,75,2.5,0.4,2,2,2,2014/06/26,2014/09/09,9,2014,1,
