ID,cem301_attendees_total,month,year,country
,20,2,2014,2
,18,2,2014,2
,37,2,2014,2
,30,2,2014,2
,78,2,2014,2
,65,2,2014,2
,62,2,2014,2
,73,3,2014,2
,35,3,2014,2
,71,3,2014,2
,78,3,2014,2
,32,3,2014,2
,52,3,2014,2
,28,3,2014,2
,32,3,2014,2
,32,3,2014,2
,25,3,2014,2
,67,3,2014,2
,43,3,2014,2
,24,3,2014,2
,80,3,2014,2
,18,3,2014,2
,54,3,2014,2
,58,3,2014,2
,26,3,2014,2
,69,3,2014,2
,32,3,2014,2
,64,3,2014,2
,70,3,2014,2
,38,3,2014,2
,44,3,2014,2
,151,3,2014,2
,135,3,2014,2
,53,3,2014,2
,63,3,2014,2
,22,3,2014,2
,40,3,2014,2
,78,3,2014,2
,62,3,2014,2
,67,3,2014,2
,31,3,2014,2
,30,3,2014,2
,41,3,2014,2
,25,3,2014,2
,40,3,2014,2
,31,3,2014,2
,34,3,2014,2
,35,3,2014,2
,49,3,2014,2
,96,3,2014,2
,24,3,2014,2
,34,3,2014,2
,20,3,2014,2
,28,3,2014,2
,45,3,2014,2
,72,3,2014,2
,42,3,2014,2
,62,3,2014,2
,50,3,2014,2
,32,3,2014,2
,53,3,2014,2
,27,3,2014,2
,51,3,2014,2
,45,3,2014,2
,31,3,2014,2
