ID,t101a_wpt_verifn_id,t011_prgrm,t313_wpt_fail,t301b_wpt_flow_rate_slow,t302_landowner_personality,t302a_rep_WSB_talkedto,t302b_rep_WSB_accepted_disp,t310_wpt_drinking_water,t303b_turbitube_100ntu,t303_turbidity_wet,t304_turbidity_dry,t305b_flow_how_many_months,avg_users,t311_wpt_pass,t009_country,month,year,t005_today
,6446415902,MGR,1,,1,,,0,,,,,,,1,8,2014,21-Aug-14
,6446415901,MGR,,,1,,,1,,3,3,,15.66666667,1,1,8,2014,21-Aug-14
,6455414908,MGR,1,,1,,,1,1,,,9,4,,1,3,2014,28-Mar-14
,6455414904,MGR,1,,,,,1,1,,,,4,,1,3,2014,28-Mar-14
,6455415002,MGR,1,,1,,,0,,,,,,,1,3,2014,28-Mar-14
,6351416201,HMB2,1,0,,,,,,,,,,,1,3,2015,11-Mar-15
,6351416203,HMB2,1,,,,,1,,2,3,,4,,1,3,2015,11-Mar-15
,6351416204,HMB2,1,0,,,,,,,,,,,1,3,2015,11-Mar-15
,6351416202,HMB2,1,0,,,,,,,,,,,1,3,2015,11-Mar-15
,6136455602,SYA,1,,,,,1,,2,3,,,,1,7,2013,02-Jul-13
