id,cem301_attendees_total,cem011_prgrm,month,year,cem009_country,cem005_today
,20,One Acre Fund,11,2011,1,29-Jun-13
,18,One Acre Fund,12,2011,1,13-Jul-13
,29,One Acre Fund,12,2011,1,01-Jul-13
,19,One Acre Fund,11,2011,1,01-Jul-13
,21,One Acre Fund,11,2011,1,01-Jul-13
,13,One Acre Fund,12,2011,1,27-Jun-13
,39,One Acre Fund,11,2011,1,14may2013
,29,One Acre Fund,12,2011,1,27-Jun-13
,26,One Acre Fund,11,2011,1,27-Jun-13
,24,One Acre Fund,12,2011,1,27-Jun-13
,23,One Acre Fund,10,2011,1,14may2013
,23,One Acre Fund,11,2011,1,27-Jun-13
,20,One Acre Fund,11,2011,1,26-Jun-13
,30,One Acre Fund,12,2011,1,27-Jun-13
,24,One Acre Fund,12,2011,1,27-Jun-13
,31,One Acre Fund,11,2011,1,27-Jun-13
,33,One Acre Fund,11,2011,1,27-Jun-13
,22,One Acre Fund,11,2011,1,27-Jun-13
,32,One Acre Fund,11,2011,1,27-Jun-13
,19,One Acre Fund,11,2011,1,25-Jun-13
,38,One Acre Fund,10,2011,1,25-Jun-13
,32,One Acre Fund,11,2011,1,25-Jun-13
,31,One Acre Fund,2,2012,1,25-Jun-13
,27,One Acre Fund,12,2011,1,13-Jul-13
,16,One Acre Fund,12,2011,1,25-Jun-13
,28,One Acre Fund,11,2011,1,25-Jun-13
,24,One Acre Fund,12,2011,1,25-Jun-13
,17,One Acre Fund,12,2011,1,25-Jun-13
,36,One Acre Fund,11,2011,1,25-Jun-13
,28,One Acre Fund,11,2011,1,09-Jul-13
,23,One Acre Fund,11,2011,1,25-Jun-13
,24,One Acre Fund,11,2011,1,25-Jun-13
,30,One Acre Fund,11,2011,1,25-Jun-13
,33,One Acre Fund,11,2011,1,25-Jun-13
,14,One Acre Fund,11,2011,1,16may2013
,29,One Acre Fund,11,2011,1,13-Jul-13
,39,One Acre Fund,11,2011,1,09-Jul-13
,25,One Acre Fund,11,2011,1,09-Jul-13
,44,One Acre Fund,11,2011,1,09-Jul-13
,28,One Acre Fund,11,2011,1,09-Jul-13
,20,One Acre Fund,11,2011,1,09-Jul-13
,31,One Acre Fund,11,2011,1,08-Jul-13
,29,One Acre Fund,11,2011,1,13-Jul-13
,32,One Acre Fund,11,2011,1,13-Jul-13
,25,One Acre Fund,11,2011,1,09-Jul-13
,17,One Acre Fund,11,2011,1,26-Jun-13
,25,One Acre Fund,11,2011,1,26-Jun-13
,20,One Acre Fund,11,2011,1,26-Jun-13
,26,One Acre Fund,11,2011,1,26-Jun-13
,28,One Acre Fund,11,2011,1,26-Jun-13
,23,One Acre Fund,11,2011,1,26-Jun-13
,40,One Acre Fund,11,2011,1,26-Jun-13
,22,One Acre Fund,11,2011,1,26-Jun-13
,17,One Acre Fund,12,2011,1,26-Jun-13
,27,One Acre Fund,11,2011,1,26-Jun-13
,34,One Acre Fund,12,2011,1,26-Jun-13
,23,One Acre Fund,12,2011,1,15-Jul-13
,27,One Acre Fund,12,2011,1,15-Jul-13
,21,One Acre Fund,12,2011,1,31-Jul-13
,18,One Acre Fund,12,2011,1,16-Jul-13
,23,One Acre Fund,11,2011,1,11-Jul-13
,24,One Acre Fund,12,2011,1,11-Jul-13
,26,One Acre Fund,12,2011,1,15-Jul-13
,29,One Acre Fund,12,2011,1,31-Jul-13
,24,One Acre Fund,12,2011,1,16-Jul-13
,25,One Acre Fund,11,2011,1,15-Jul-13
,16,One Acre Fund,11,2011,1,11-Jul-13
,27,One Acre Fund,11,2011,1,13-Jul-13
,47,One Acre Fund,11,2011,1,13-Jul-13
,17,One Acre Fund,12,2011,1,15-Jul-13
,19,One Acre Fund,12,2011,1,11-Jul-13
,23,One Acre Fund,11,2011,1,11-Jul-13
,24,One Acre Fund,12,2011,1,31-Jul-13
,22,One Acre Fund,12,2011,1,15-Jul-13
,23,One Acre Fund,11,2011,1,27-Jun-13
,25,One Acre Fund,11,2011,1,27-Jun-13
,20,One Acre Fund,11,2011,1,27-Jun-13
,31,One Acre Fund,11,2011,1,14may2013
,24,One Acre Fund,11,2011,1,27-Jun-13
,25,One Acre Fund,11,2011,1,01-Jul-13
,26,One Acre Fund,11,2011,1,01-Jul-13
,17,One Acre Fund,11,2011,1,05-Aug-13
,26,One Acre Fund,11,2011,1,09-Jul-13
,13,One Acre Fund,11,2011,1,21-Jun-13
,20,One Acre Fund,12,2011,1,01-Jul-13
,20,One Acre Fund,12,2011,1,27-Jun-13
